A1;;;
A2;;;
A4;;;
A5;;;
A6;;;
A7;;;
A8;;;
A9;;;
A10;;;
Barrel cortex;;whisker sensory area, barrel field, barrel field sensory area, whisker barrels,barrel field cortex,Barrel;
Barrington's nucleus;;Barrington nucleus,Barrington nucleus;
Basal amygdaloid nucleus;BA;basal amygdala, basolateral nucleus of the amygdala, basolateral amygdalar nucleus, basolateral amygdaloid nucleus, Nucleus amygdaloideus basalis;
Basal cochlea;;;
Basal forebrain;;basal forebrain area;
Basal Ganglia;BG;basal ganglia nuclei,Basal ganglia of rodent;
Basal hypothalamus;;;
Basal interstitial nucleus;;;
Basal limbus;;;
Basal nuclear complex;;;
Basal nucleus of the dorsal horn;;;
Basal nucleus;B;basal magnocellular nucleus, basal forebrain nucleus, basal nuclei of Meynert, basal nucleus, basal nucleus of Meynert, magnocellular preoptic nucleus, nucleus basalis of Meynert, Nucleus basalis, Nucleus basalis (Meynert), Nucleus basalis Meynert,basal nuclei;
basal optic nucleus;;;
Basal part of pons;Bpons;base of pons, basilar pons, pons proper, ventral portion of pons, Basis pontis, basal pons,basilar pons;
basal preoptic region;;;
basal telencephalic nuclei;;basal telencephalon;
basilar membrane;;;
basilar pontine gray;;;
basilar pontine nuclei;;basilar pontine;
Basolateral nucleus of the amygdala;;basolateral amygdala, basolateral nuclei of the amygdala, basolateral amygdaloid nuclei, basolateral nuclei, basolateral nucleus, basal nucleus of the amygdala, basal nucleus of the amygdaloid complex, basal nucleus, basal nuclei;
Basomedial nucleus of the amygdala;BMA;basomedial amygdala, basomedial nuclei of the amygdala, basomedial amygdaloid nuclei, basomedial nuclei, basomedial nucleus;
Bed nuclei of the stria terminalis oval nucleus;;oval nucleus of stria terminalis;
Bed nucleus of stria terminalis;StT,BST;nucleus of stria terminalis, nucleus of the stria terminalis, Nucleus interstitialis striae terminalis, Nucleus striae terminalis,bed nucleus;
Bed nucleus of the accessory olfactory part;;;
Bed nucleus of the anterior commissure;;;
Bed nucleus of the stria medularis;;;
Beta zone;;;
Blood-brain barrier;;;
BLP;;;
Body of caudate nucleus;BCd;body, body of caudate nucleus, Corpus (caudatus), Corpus nuclei caudati;
Body of fornix;bfx;Body of the fornix, column of fornix, Columna fornicis, Corpus fornicis;
Body of lateral ventricle;BLV;body of lateral ventricle, central part of lateral ventricle;
BOR1;;;
BORm;;;
Brachium of inferior colliculus;bic;brachium of the inferior colliculus,  inferior brachium, inferior collicular brachium, Brachium colliculi inferioris;
Brachium of superior colliculus;bsc;brachium of the superior colliculus, superior brachium, Brachium colliculi superioris;
Brainstem areas;;;
Brainstem dorsal column nuclei;;;
Brainstem parenchyma;;;
Brainstem reticular nuclei;;;
Brainstem;;brain stem, truncus cerebri,brainstem nuclei;
Bregma;;;
Broca's area;;area of Broca, Broca's region, Broca's speech area;
bulb;;;
bulbar coronal plane;;;
bulbar gigantocellular tegmental field;;;
bulbar pyramid;;;
bulbar reticular formation;;;
bulbar rostrocaudal extent;;;
bulbar;;;
Bulbocerebellar tract;;;
Bötzinger Complex;;;
